Base Name,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
VIA,2018,3,March,1027292,690735,5544
UBER,2018,4,April,13222485,3549372,67970
LYFT,2018,4,April,3332985,557190,37429
JUNO,2018,4,April,999872,0,21345
VIA,2018,4,April,1003354,698442,5767
UBER,2018,5,May,13579992,3319850,70054
LYFT,2018,5,May,3400356,540029,38628
JUNO,2018,5,May,1244326,0,21994
VIA,2018,5,May,1011268,703334,5921
UBER,2018,6,June,13267600,3171911,71006
LYFT,2018,6,June,3664808,602496,39519
JUNO,2018,6,June,1101655,0,21623
VIA,2018,6,June,744501,496676,5752
UBER,2018,7,July,14063243,3877702,71836
LYFT,2018,7,July,3632375,615331,40899
JUNO,2018,7,July,1018602,0,21380
VIA,2018,7,July,852703,562672,5579
UBER,2018,8,August,14060879,4027450,72344
LYFT,2018,8,August,3936418,620932,41968
JUNO,2018,8,August,1032199,0,21127
VIA,2018,8,August,878956,567411,5329
UBER,2018,9,September,14049967,3943561,74249
LYFT,2018,9,September,3960252,641585,43686
JUNO,2018,9,September,1029481,0,20711
VIA,2018,9,September,940708,651686,6273
UBER,2018,10,October,14663999,4045741,75606
LYFT,2018,10,October,4246575,1024500,46167
JUNO,2018,10,October,1104745,0,20850
VIA,2018,10,October,1072428,766717,6195
UBER,2018,11,November,14554993,3858407,76494
LYFT,2018,11,November,4195596,540745,47723
JUNO,2018,11,November,1048668,0,20750
VIA,2018,11,November,955964,656155,5892
UBER,2018,12,December,14999895,3802083,78093
LYFT,2018,12,December,4697772,691743,48773
JUNO,2018,12,December,1123041,0,21068
VIA,2018,12,December,913209,606110,5789
UBER,2019,1,January,16184069,4110424,79178
LYFT,2019,1,January,4623412,709716,50099
JUNO,2019,1,January,1235565,0,21768
VIA,2019,1,January,1159307,668664,6784
UBER,2019,2,February,13503042,2945777,77712
LYFT,2019,2,February,4689540,1171771,50929
JUNO,2019,2,February,979258,0,20985
VIA,2019,2,February,983926,695244,6767
UBER,2019,3,March,17247995,2973699,78973
LYFT,2019,3,March,4696685,1147502,52436
JUNO,2019,3,March,835105,0,20410
VIA,2019,3,March,1082003,767037,6338
UBER,2019,4,April,15657427,2520648,78257
LYFT,2019,4,April,4287895,1008642,53370
JUNO,2019,4,April,740482,0,19998
VIA,2019,4,April,1046142,722216,6608
UBER,2019,5,May,15876062,2031552,77654
LYFT,2019,5,May,4681243,1108538,52592
JUNO,2019,5,May,741967,0,19561
VIA,2019,5,May,1029266,707052,6780
UBER,2019,6,June,14396737,1245713,76681
LYFT,2019,6,June,4998481,1197047,52185
JUNO,2019,6,June,674704,0,18905
VIA,2019,6,June,930716,606442,6359
UBER,2019,7,July,14042889,1528499,75420
LYFT,2019,7,July,4682093,1134662,51316
JUNO,2019,7,July,657929,0,19176
VIA,2019,7,July,919798,566638,6787
UBER,2019,8,August,13925893,1484807,73692
LYFT,2019,8,August,4698486,1241250,48556
JUNO,2019,8,August,619646,0,17968
VIA,2019,8,August,881654,530235,5850
UBER,2019,9,September,13964765,1428238,73065
LYFT,2019,9,September,4611514,1258443,48447
JUNO,2019,9,September,625981,0,17735
VIA,2019,9,September,866974,548812,5761
UBER,2019,10,October,14509882,1275611,72581
LYFT,2019,10,October,5346314,1489520,47217
JUNO,2019,10,October,407494,0,16996
VIA,2019,10,October,898587,572837,5714
UBER,2019,11,November,15610941,1156047,71965
LYFT,2019,11,November,5144737,1464222,44804
JUNO,2019,11,November,105879,0,12940
VIA,2019,11,November,773951,481884,4925
UBER,2019,12,December,16105602,1045262,71488
LYFT,2019,12,December,5430612,1417280,45310
VIA,2019,12,December,707565,433525,4470
UBER,2020,1,January,14582520,1047433,70090
LYFT,2020,1,January,5274248,1319840,44285
VIA,2020,1,January,712600,440073,4926
UBER,2020,2,February,15743610,1102264,68841
LYFT,2020,2,February,5339549,1295327,43192
VIA,2020,2,February,641941,418833,3942
UBER,2020,3,March,9836781,527848,66472
LYFT,2020,3,March,3219541,557289,40329
VIA,2020,3,March,336606,187444,3490
UBER,2020,4,April,3102835,0,19449
LYFT,2020,4,April,1144083,0,11666
VIA,2020,4,April,65991,0,959
UBER,2020,5,May,4359377,0,24251
LYFT,2020,5,May,1621495,0,15045
VIA,2020,5,May,109127,0,1476
UBER,2020,6,June,5114308,0,25821
LYFT,2020,6,June,2310860,0,16422
VIA,2020,6,June,130025,0,1531
UBER,2020,7,July,7081522,0,32652
LYFT,2020,7,July,2716099,0,21163
VIA,2020,7,July,160833,0,1781
UBER,2020,8,August,7856499,0,41099
LYFT,2020,8,August,3072675,0,30098
VIA,2020,8,August,167678,0,2791
UBER,2020,9,September,8847755,0,42294
LYFT,2020,9,September,3116906,0,31613
VIA,2020,9,September,142008,0,2854
UBER,2020,10,October,9797775,0,43848
LYFT,2020,10,October,3323082,0,33098
VIA,2020,10,October,147554,0,3013
UBER,2020,11,November,8375281,0,44349
LYFT,2020,11,November,3090686,0,34305
VIA,2020,11,November,130898,0,3252
UBER,2020,12,December,8486416,0,43284
LYFT,2020,12,December,3023412,0,33777
VIA,2020,12,December,127295,0,3489
UBER,2021,1,January,8704128,0,39982
LYFT,2021,1,January,3094325,0,30565
VIA,2021,1,January,110015,0,2802
UBER,2021,2,February,8290758,0,39322
LYFT,2021,2,February,3237166,0,29617
VIA,2021,2,February,86018,0,2575
UBER,2021,3,March,10173376,0,44460
LYFT,2021,3,March,3946703,0,32542
VIA,2021,3,March,107314,0,2675
UBER,2021,4,April,10238382,0,46797
LYFT,2021,4,April,3768879,0,34834
VIA,2021,4,April,104110,0,2435
UBER,2021,5,May,10808415,0,48956
LYFT,2021,5,May,3814434,0,36425
VIA,2021,5,May,96322,0,2110
UBER,2021,6,June,10747390,0,50389
LYFT,2021,6,June,4130660,0,37466
VIA,2021,6,June,83842,3743,1821
UBER,2021,7,July,10704366,0,51053
LYFT,2021,7,July,4229852,0,38119
VIA,2021,7,July,92956,19711,1802
UBER,2021,8,August,10196747,0,51083
LYFT,2021,8,August,4209240,0,39929
VIA,2021,8,August,93709,22432,1845
UBER,2021,9,September,10557442,0,56492
LYFT,2021,9,September,4240481,0,43051
VIA,2021,9,September,88132,25022,1665
UBER,2021,10,October,12086389,0,59108
LYFT,2021,10,October,4429566,0,45407
VIA,2021,10,October,29401,8614,1156
UBER,2021,11,November,11819597,0,59896
LYFT,2021,11,November,4222042,0,45594
UBER,2021,12,December,11802074,0,60776
LYFT,2021,12,December,4252421,0,46652
UBER,2022,1,January,10826336,0,59725
LYFT,2022,1,January,3925255,0,46216
UBER,2022,2,February,11440898,0,60334
LYFT,2022,2,February,4578385,0,46065
